location,location_type,area_m2,area_unit,frontage_exists,frontage_m,street_type,street_width_m,is_organized,type,has_water,has_electricity,has_swer,political_zone,date_of_sale,price_JOD,distance_from_center,distance_from_center_unit,distance_from_center_unknown,proximity_main_road_distance,proximity_main_road_unit,proximity_main_road_unknown,proximity_services_mosque,proximity_services_mosque_near_far,proximity_services_school,proximity_services_school_type,proximity_services_school_near_far,proximity_services_hospital,proximity_services_hospital_type,proximity_services_hospital_near_far,proximity_to_sea,terrain,earth_direction,ownership_registry,type_of_land,shape_of_land,number_of_facades,soil_type
Tulkarm,city,0.1962,hectare,لا,,,,True,سكن ب,False,True,False,B,2023-08-25,10137.72,19.702,km,False,38.23,m,False,False,,True,public,far,True,clinic,near,none,سهل,شمال,طابو,ملك,مربعة,2,طيني
Nablus,city,0.0284,hectare,لا,,,,True,سكن ب,True,False,False,A,2023-04-13,73583.79,11.821,km,False,38.57,min,False,False,,True,public,far,True,clinic,far,far,جبل,غرب,طابو,ملك,مستطيلة,4,طيني
Ramallah,city,0.2995,feddan,لا أعلم,,,,False,,True,True,False,A,2025-05-10,24341.78,15.62,km,False,25.8,min,False,False,,True,public,near,True,clinic,far,none,سهل,جنوب,طابو,اميرية,شبه مستطيلة,0,رملي
Hebron,city,1021.0,sqm,لا,,,,True,سكن أ,False,True,False,B,2022-07-27,48932.36,15.981,m,False,,,True,False,,True,private,near,True,clinic,near,none,سهل,شرق,طابو,اميرية,شبه مستطيلة,4,صخري
Ain_Yabrud,village,0.4788,hectare,لا أعلم,,,,False,,True,True,True,B,2025-06-27,60227.55,4.448,km,False,,,True,True,near,True,public,far,False,,,none,منحدر,شرق,مالية,ملك,مربعة,3,رملي
As_Samu,village,0.1652,feddan,لا,,,,True,منطقة صناعية,False,False,True,C,2021-10-19,72379.69,17.47,km,False,,,True,False,,True,private,far,True,clinic,near,none,جبل,شمال,تسجيل جديد,اميرية,شبه مستطيلة,2,صخري
Bethlehem,city,0.5329,feddan,نعم,21,ترابي,10,True,سكن ب,True,False,True,A,2023-10-24,15502.88,,,True,46.41,km,False,True,far,True,private,far,True,hospital,near,far,جبل,غرب,طابو,اميرية,موارس,4,طمي
Deir_Al_Ghusun,village,2.645,donum,نعم,15,ترابي,8,True,منطقة صناعية,True,True,False,A,2025-06-09,19949.82,21.144,m,False,,,True,False,,False,,,False,,,far,سهل,غرب,مالية,ملك,شبه مربعة,1,رملي
Ain_Yabrud,village,2.997,donum,نعم,28,زفتة فرعي,3,False,,False,True,False,B,2022-08-27,99901.38,0.139,km,False,,,True,True,near,False,,,False,,,far,سهل,شمال,تسجيل جديد,اميرية,شبه مربعة,3,صخري
Jericho,city,1371.0,sqm,نعم,3,زفتة فرعي,5,False,,False,True,True,B,2020-12-29,52927.63,13.543,km,False,,,True,False,,True,public,near,True,hospital,near,far,منحدر,شرق,مالية,اميرية,مستطيلة,1,صخري
Kafr_Qasem,village,4001.0,sqm,لا,,,,False,,False,True,False,A,2024-07-05,6174.43,5.297,km,False,43.62,m,False,False,,False,,,True,clinic,far,far,جبل,جنوب,طابو,ملك,موارس,0,رملي
Tulkarm,city,0.0724,hectare,لا,,,,True,سكن ج,True,True,False,B,2023-04-08,53425.02,22.636,m,False,11.93,m,False,False,,True,private,far,False,,,far,جبل,جنوب,طابو,ملك,شبه مربعة,0,صخري
As_Samu,village,4295.0,sqm,لا,,,,False,,False,True,False,B,2020-10-13,54823.68,26.11,km,False,27.65,m,False,True,near,True,private,near,True,clinic,far,far,سهل,جنوب,تسجيل جديد,اميرية,موارس,2,طيني
Kafr_Qasem,village,0.802,donum,لا أعلم,,,,False,,False,False,False,A,2023-10-30,54181.3,19.363,m,False,49.68,m,False,True,near,True,public,far,False,,,none,منحدر,شرق,تسجيل جديد,ملك,شكل غير منتظم,3,طيني
Qalqilya,city,0.3255,feddan,لا,,,,True,سكن ج,True,True,True,B,2022-04-12,20869.06,,,True,37.71,m,False,False,,False,,,False,,,far,سهل,شمال,تسجيل جديد,ملك,مربعة,3,صخري
